artifact_id,technology,violation_class,fixes_out_of,fix_count,difficulty
BM-2001,kubernetes,over_permissive_access,9,8,easy
BM-2002,kubernetes,over_permissive_access,9,8,easy
BM-2003,kubernetes,over_permissive_access,9,8,easy
BM-2004,kubernetes,over_permissive_access,9,8,easy
BM-2005,kubernetes,over_permissive_access,9,8,easy
BM-2006,kubernetes,over_permissive_access,9,8,easy
BM-2073,kubernetes,network_hardening,9,9,easy
BM-2075,kubernetes,network_hardening,9,9,easy
BM-2077,kubernetes,network_hardening,9,8,easy
BM-2113,kubernetes,missing_runtime_safety,9,9,easy
BM-2120,kubernetes,insecure_defaults,9,9,easy
BM-2122,kubernetes,insecure_defaults,9,8,easy
BM-2124,kubernetes,insecure_defaults,9,9,easy
BM-2200,kubernetes,weak_observability,9,9,easy
BM-2471,kubernetes,missing_encryption,9,9,easy
BM-2472,kubernetes,missing_encryption,9,8,easy
BM-3223,kubernetes,other,9,9,easy
BM-3936,kubernetes,missing_runtime_safety,9,8,easy
BM-3937,kubernetes,missing_runtime_safety,9,8,easy
BM-3938,kubernetes,missing_runtime_safety,9,8,easy
